;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència
   46156 - Llombai;2686;55,57;48,33;20,56;-0,11;-1,56;113,26;54,63;2685;55,57;48,31;18,65;-0,3;-3,09;117,16;54,67;2653;55,57;47,74;16,82;0,53;-3,54;117,01;55,24;2651;55,57;47,7;17,82;0;-3,02;123,97;53,59;2648;55,57;47,65;18,21;-0,68;-3,66;134,47;50,71
   46157 - Llosa de Ranes, la;3585;7,13;503,1;-2,74;-1,67;-9,15;151,77;50,69;3575;7,13;501,7;-1,24;-2,1;-10,66;152,72;51,04;3642;7,13;511,1;0,55;-2,55;-10,32;151,33;50,62;3687;7,13;517,42;0,85;-2,74;-8,44;153,04;51,29;3652;7,13;512,51;-1,14;-2,9;-9,8;158,46;51,28
   46158 - Macastre;1240;37,66;32,93;24;-2,26;3,47;182,55;51,4;1283;37,66;34,07;28,3;-1,87;4,44;178,62;52,74;1300;37,66;34,52;23,81;-2,23;6,54;185,91;48,74;1338;37,66;35,53;25,28;-3,44;8,59;179,25;49,66;1387;37,66;36,83;30,11;-4,18;13,41;177,78;52,08
   46159 - Manises;30693;19,65;1561,75;27,15;6,46;0,07;95,76;51,11;30919;19,65;1573,25;19,32;6,05;1,6;100,37;50,38;31240;19,65;1589,58;20,44;5,72;2,82;105,55;49,93;31287;19,65;1591,98;20,81;5,32;3,26;109,61;49,48;31170;19,65;1586,02;17,8;4,81;3,17;115,72;49,02
   46160 - Manuel;2439;6,05;403,25;0,58;-4,39;-6,07;139,67;56,65;2428;6,05;401,43;-1,3;-4,9;-5,97;150,14;55,14;2436;6,05;402,75;0,41;-4,52;-3,94;159,09;54,08;2452;6,05;405,4;0,95;-4,49;-3,18;157,61;54,31;2496;6,05;412,67;2,46;-4,81;0,64;146,65;54,74
   46161 - Marines;1828;35,72;51,17;36,32;-0,66;4,76;112,28;49,47;1828;35,72;51,17;35,61;-0,6;0,93;113,19;50,58;1848;35,72;51,74;31,44;-0,92;0,87;114,93;50,37;1894;35,72;53,03;33,95;-1,11;3,12;113,99;47,74;1942;35,72;54,37;35,14;-1,18;4,48;117,11;49,96
   46162 - Massalavés;1575;7,48;210,46;7,14;-3,37;-2,73;136,02;54,72;1596;7,48;213,27;8,57;-3,01;-2,76;132,79;56,32;1610;7,48;215,14;9,97;-2,55;-1,18;131,5;57,53;1632;7,48;218,08;9,53;-2,63;3,13;123,88;58,14;1696;7,48;226,63;6,2;-3,01;7,67;118,71;55,88
   46163 - Massalfassar;2480;2,53;978,63;83,57;5,08;4,11;73,98;48,41;2469;2,53;974,29;84,94;5,63;1,98;76,15;48,38;2555;2,53;1008,23;89,96;6,26;4,03;74,89;48,03;2574;2,53;1015,73;94,12;6,57;2,91;77,89;48,87;2587;2,53;1020,86;92,34;6,69;2,28;81,24;46,49
   46164 - Massamagrell;15752;6,16;2556,1;26,03;4,24;5,66;96,83;52,12;15952;6,16;2588,55;28,4;3,89;5,87;101,47;52,21;16163;6,16;2622,79;26,61;3,98;6,68;103,54;51,78;16132;6,16;2617,76;25,06;3,69;7,1;107,25;51,15;16223;6,16;2632,53;22,71;3,41;8,52;110,78;50,93
   46165 - Massanassa;9538;5,59;1705,57;24,7;2,61;6,24;99,45;51,85;9667;5,59;1728,64;26,65;2,66;5,65;102,42;53,03;9782;5,59;1749,2;30,06;2,77;6,66;105,06;53,32;9845;5,59;1760,47;32,04;2,57;7,02;106,65;53,23;9929;5,59;1775,49;34,3;2,54;9,74;108,66;54,32
