;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència
   46197 - Polinyà de Xúquer;2459;9,18;267,95;11,07;-1,32;-2,52;115,14;57,23;2472;9,18;269,37;13,34;-1,48;-2,47;119,13;57,75;2503;9,18;272,75;13,82;-1,63;-0,84;121,22;56,83;2495;9,18;271,88;12,69;-2,69;0,08;124,37;54,87;2493;9,18;271,66;12,15;-3,19;0,76;124,55;54,37
   46198 - Potries;1014;3,07;330,09;7,99;-10,75;8,19;224,75;47,81;1046;3,07;340,5;11,87;-10,04;5,16;212,26;46,29;1060;3,07;345,06;13,13;-10,66;5,57;210,28;45,6;1065;3,07;346,69;14,64;-10,61;7,79;199,12;46,49;1075;3,07;349,95;16,85;-11,07;11,63;208,18;46,06
   46199 - Pobla de Farnals, la;7840;3,61;2168,93;51,03;6,44;8,28;96,66;50,97;7978;3,61;2207,11;51,5;6,07;7,48;100,07;51,36;8128;3,62;2245,24;48,51;5,75;8,28;104,48;50,8;8205;3,62;2266,51;44,94;5,3;9,34;111,26;50,14;8368;3,62;2311,54;45,56;4,62;11,4;120,37;49,48
   46200 - Pobla del Duc, la;2537;18,87;134,46;4,19;-2,25;-0,12;189,87;56,51;2543;18,87;134,77;4,65;-2,04;0,35;185,11;58,44;2515;18,87;133,29;3,63;-2,62;0,91;183,59;57,29;2483;18,87;131,59;1,22;-3,54;-1,05;185,49;57,35;2447;18,87;129,69;-3,78;-3,88;-1,8;184,28;58,59
   46201 - Puebla de San Miguel;61;63,58;0,96;-23,75;-18,03;-45,9;2100;56,41;62;63,58;0,98;-21,52;-14,52;-45,16;2000;51,22;61;63,58;0,96;-24,69;-9,84;-34,43;2000;52,5;60;63,61;0,94;-21,05;-11,67;-36,67;2100;57,89;59;63,61;0,93;-19,18;-8,47;-22,03;2100;59,46
   46202 - Pobla de Vallbona, la;24068;33,1;727,05;127,85;12,09;15,34;56,09;46,57;24433;33,1;738,08;119,88;12,03;13,29;58,26;47,25;24858;33,1;750,92;111,43;12,05;12,89;61,41;46,98;25275;33,1;763,51;105,47;11,96;13,23;64,64;46,14;25625;33,1;774,09;96,09;11,66;13,16;68,35;46,64
   46203 - Pobla Llarga, la;4482;10,09;444,07;3,3;-3,44;-1,12;140,06;55,84;4452;10,09;441,09;1,64;-3,62;-2,07;141,62;55,28;4452;10,09;441,09;1,81;-3,91;-1,86;142,37;54,64;4440;10,09;439,9;2,45;-3,94;-1,76;145,83;54,22;4443;10,09;440,2;1,62;-4,05;-1,1;149,76;55,24
   46204 - Puig de Santa Maria, el;8566;26,83;319,3;21,69;2,93;2,63;122,95;56,69;8630;26,83;321,69;22,53;2,35;2,58;126,68;57,05;8718;26,8;325,25;21,17;1,82;1,93;133,81;56,1;8737;26,8;325,96;20,53;1,1;1,34;137,82;56,75;8792;26,8;328,01;16,08;0,25;3,61;146,96;57,59
   46205 - Puçol;19455;18,06;1077,22;39,66;4,62;2,36;92,78;51,01;19495;18,06;1079,43;37,18;4,69;0,81;94,97;51,09;19737;18,1;1090,37;35,85;4,57;1,63;98,57;51,14;19975;18,1;1103,52;34,75;4,23;3,43;104,57;51,1;20191;18,1;1115,45;34,1;4,08;4,57;108,1;51,14
   46206 - Quesa;662;73,16;9,05;-16,31;-20,69;5,14;301,43;73,75;670;73,16;9,16;-15,93;-20,3;1,19;300;73,58;663;73,16;9,06;-16,81;-20,21;0;335,48;68,7;669;73,16;9,14;-13,57;-21,52;3,14;306,15;65,19;647;73,16;8,84;-15,09;-22,72;1,85;335,71;60,55
   46207 - Rafelbunyol;8929;4,2;2126,79;69,33;8,5;9,91;80,49;51,24;8941;4,2;2129,65;65,36;8,5;6,32;82,36;51,75;9149;4,2;2179,2;64,76;8,26;6,15;84,85;50,92;9351;4,2;2227,31;63,97;8,03;6,52;85,36;49,62;9381;4,2;2234,46;61,44;7,75;6,83;90,27;49,12
   46208 - Rafelcofer;1358;2,03;667,82;-3,21;-7;-8,25;162,18;59,39;1345;2,03;661,43;-5,01;-7,66;-7,96;165,41;57,49;1355;2,03;666,34;-3,63;-7,97;-6,2;161,46;58,85;1365;2,03;671,26;-2,29;-8,21;-1,61;167,76;56;1386;2,03;681,59;-0,22;-8,08;-0,22;170,88;55,21
   46209 - Rafelguaraf;2370;16,26;145,74;-3,38;-4,6;-2,91;152,55;55;2335;16,26;143,59;-4,3;-5,05;-4,5;163,21;55,87;2355;16,26;144,82;-2,12;-4,5;-3,06;156,84;55,96;2358;16,26;145;-0,76;-5,17;-3,69;170,23;54,83;2360;16,26;145,12;0,04;-5,34;-3,14;167,31;54,65
   46210 - Ráfol de Salem;440;4,33;101,73;18,28;-5,68;-4,77;149,32;70,54;462;4,33;106,82;22,87;-5,41;0;131,71;69,85;442;4,33;102,19;19,78;-6,11;-0,68;121,25;66,79;449;4,33;103,81;23,01;-5,35;-1,11;110,47;67,54;443;4,33;102,42;22,04;-4,51;-1,13;115,48;69,08
   46211 - Real de Gandia, el;2395;6,07;394,46;33,8;-0,5;10,4;109,65;48,48;2461;6,07;405,33;36,42;-0,37;11,26;101,76;48,43;2531;6,07;416,85;41,48;0,4;11,77;103,32;45,96;2551;6,07;420,15;40,63;0,2;11,8;107,65;44,61;2574;6,07;423,94;39,51;0,51;11,62;105,85;45,84
   46212 - Real;2152;18,32;117,5;18,63;-1,07;1,72;129,85;55,72;2154;18,32;117,61;20,27;-2;0,79;137,04;55,41;2207;18,32;120,5;22,75;-2,13;2,63;139,2;54,12;2250;18,32;122,85;26,98;-2,76;4,93;149,03;52,23;2287;18,32;124,87;32,58;-3,06;5,29;151,94;51,86
   46213 - Requena;20227;814,21;24,84;7,42;-1,18;1,35;131,75;57,26;20254;814,21;24,88;6,84;-1,22;0,08;135,82;57,17;20405;814,4;25,06;6,88;-1,47;0,37;137,93;57,01;20235;814,46;24,84;4,35;-2,08;0,58;140,6;57,1;20058;814,46;24,63;1,88;-2,53;0,55;149,16;56,52
   46214 - Riba-roja de Túria;21992;57,49;382,55;88,43;8,7;9,06;65,71;45,55;22264;57,49;387,28;81,75;8,85;8,8;69,54;45,6;22761;57,49;395,93;76,33;8,49;9,71;73,1;44,78;22799;57,49;396,59;68,11;8,17;10,1;77,3;44,66;23050;57,49;400,96;61,63;7,87;10,99;82,04;44,46
   46215 - Riola;1734;5,59;310,22;9,47;-1,33;-2,83;127,57;55,52;1759;5,59;314,69;11,05;-1,31;-2,79;122,89;56,22;1790;5,59;320,24;11,25;-1,79;-0,67;118,37;55,92;1780;5,59;318,45;10,63;-2,47;-1,69;128,26;54,78;1793;5,59;320,78;9,46;-2,9;-0,5;128,68;53,12
   46216 - Rocafort;7160;2,34;3059;54,68;9,34;5,54;68,94;48,33;7240;2,34;3093,18;44,57;8,99;6,41;69,31;47,91;7314;2,34;3124,79;42,94;8,67;5,76;71,13;48,87;7445;2,34;3180,76;42,46;8,3;6,68;74,22;49,14;7603;2,34;3248,27;39,15;7,79;8,37;77,61;49,43
   46217 - Rotglà i Corberà;1114;6,26;178,04;9,65;-5,83;-6,1;148,05;52,19;1138;6,26;181,88;11,02;-6,41;-3,25;145,51;50,73;1117;6,26;178,52;7,92;-7,07;-0,63;149,66;48,93;1146;6,26;183,16;11,8;-7,33;1,57;151,32;50;1163;6,26;185,88;17,71;-7,57;4,99;156,95;50,06
   46218 - Ròtova;1262;7,66;164,85;-5,18;-6,34;-1,19;190,48;63,05;1294;7,66;169,03;-1,97;-6,11;2,63;188,3;61,55;1293;7,66;168,9;-0,15;-6,57;5,03;203,18;58,26;1271;7,66;166,02;-0,31;-6,77;3,23;203,07;63,58;1265;7,66;165,24;0,88;-6,56;5,77;204,22;66,45
   46219 - Rugat;162;3,2;50,56;-16,49;-8,64;-11,73;414,29;80;158;3,2;49,31;-18,97;-12,03;-15,82;463,64;64,58;174;3,2;54,31;-15,94;-13,22;-6,9;466,67;64,15;180;3,2;56,18;-10,89;-15;-3,33;356,25;68,22;175;3,2;54,62;-12,5;-14,86;2,86;407,14;68,27
   46220 - Sagunt / Sagunto;65669;132,37;496,1;16,01;0,53;-1,06;130,55;57,59;66140;132,37;499,66;16,37;0,45;-0,6;132,41;57,43;67173;133,92;501,58;18,35;0,41;1,33;133,5;57,06;67043;133,92;500,61;17,58;-0,02;3,23;139,52;57,4;68066;133,92;508,25;17,88;-0,35;5,73;141,52;57,25
   46221 - Salem;433;8,61;50,32;-7,68;-6,24;-8,78;151,61;56,32;424;8,61;49,27;-8,82;-5,9;-11,08;170,18;57,04;418;8,61;48,58;-10,68;-6,94;-9,33;172,73;55,97;414;8,61;48,11;-11,54;-6,76;-7,73;188,46;56,82;411;8,61;47,76;-13,84;-9,49;-7,3;232,56;53,36
   46222 - Sant Joanet;486;1,86;261,62;35,75;4,53;-0,21;83,91;49,08;504;1,86;271,31;42,78;4,76;-1,59;87,64;49,55;507;1,86;272,93;45,27;6,51;-4,73;89,77;49,12;519;1,86;279,39;46,61;7,9;-2,12;94,25;48,29;534;1,86;287,46;49,58;7,87;4,49;86,67;45,9
   46223 - Sedaví;10245;1,83;5590,61;23,79;2,83;4,49;105,57;54,64;10333;1,83;5638,63;24,69;2,8;4,05;110,84;55,24;10391;1,83;5670,28;24,4;2,61;4,54;116,87;55,34;10344;1,83;5644,63;22,39;2,4;3,87;125,27;55,67;10349;1,83;5647,36;21,27;1,99;4,43;135,55;55,11
   46224 - Segart;158;6,64;23,78;-5,95;-10,13;10,13;477,78;49,06;163;6,64;24,53;-22,38;-9,82;17,79;642,86;46,85;164;6,64;24,68;-22,64;-7,93;20,12;614,29;43,86;177;6,64;26,64;-6,84;-7,91;13,56;716,67;38,28;174;6,64;26,19;-4,92;-7,47;2,87;820;35,94
   46225 - Sellent;379;14,01;27,06;-20,88;-16,62;-17,15;443,48;49,21;389;14,01;27,78;-18,96;-15,17;-12,6;415,38;52,55;384;14,01;27,42;-18,47;-15,89;-9,64;514,29;50,59;377;14,01;26,92;-20,13;-18,57;-8,22;635,29;49,6;380;14,01;27,13;-16,48;-19,47;-6,05;515;47,86
   46226 - Sempere;35;3,83;9,15;12,9;-25,71;-8,57;-;66,67;34;3,83;8,89;0;-23,53;-11,76;-;70;30;3,83;7,84;-23,08;-26,67;-20;-;76,47;26;3,83;6,8;-29,73;-34,62;-57,69;-;85,71;26;3,83;6,8;-31,58;-26,92;-50;-;100
   46227 - Senyera;1143;2,03;562,89;24,24;6,91;-9,97;83,09;49,61;1136;2,03;559,44;23,34;6,34;-11;91,28;48,89;1134;2,03;558,46;21,02;6,08;-9,26;93,72;48,43;1132;2,03;557,47;21,46;6,63;-8,92;97,88;49,34;1108;2,03;545,65;16,39;5,6;-10,2;102,76;49,53
   46228 - Serra;3091;57,29;53,95;80,55;1,1;7,47;97,77;46,22;3124;57,29;54,52;70,25;0,35;6,59;103,33;45,44;3187;57,29;55,62;66,42;0,28;5,43;105,19;45;3326;57,29;58,05;68,66;0,69;5,86;113,29;45,69;3405;57,29;59,43;69,23;0,73;8,4;113,45;45,39
   46229 - Siete Aguas;1171;110,59;10,59;10,26;-3,59;-10,5;181,88;55,93;1154;110,59;10,43;-10,05;-4,33;-11,96;192,03;53,66;1159;110,59;10,48;-9,59;-4,92;-9,23;203,73;54,12;1183;110,59;10,7;-0,76;-5,66;-11,83;205,88;54,24;1180;110,59;10,67;-2,16;-6,86;-10,85;241,32;53,85
   46230 - Silla;18467;25,02;738,11;16,29;3,27;-4,33;108,44;50,86;18771;25,02;750,26;19,48;3,08;-2,11;112,58;51,59;19078;25,02;762,53;22,19;3,14;-0,44;112,51;52,59;19211;25,02;767,85;22,87;3,21;0,84;116,45;53,04;19298;25,02;771,32;23,55;2,78;2,74;122,95;53,21
   46231 - Simat de la Valldigna;3325;38,49;86,39;6,57;-6,14;5,38;153,03;57,36;3329;38,49;86,49;6,77;-6,58;3,84;158,3;57,4;3297;38,49;85,66;5,94;-6,79;4,43;167,33;57,45;3286;38,49;85,38;6,72;-7,06;7,36;174,48;56,25;3271;38,49;84,99;4,81;-6,91;6,27;188,97;56,36
   46232 - Sinarcas;1124;102,46;10,97;-11,5;-15,04;0,89;203,5;62,9;1125;102,46;10,98;-9,57;-14,04;-1,07;198,61;61,87;1105;102,46;10,78;-11,24;-13,67;-3,44;212,78;60,38;1109;102,46;10,82;-9,25;-13,98;-1,17;231,97;57,53;1135;102,46;11,08;-5,89;-13,92;3,17;232,26;56,98
   46233 - Sollana;4884;39,22;124,53;9,73;-3,71;1,64;136,36;54,17;4861;39,22;123,94;8,77;-4,32;1,09;136,08;53,2;4881;39,22;124,45;9,37;-4,45;3,3;140,2;52,44;4911;39,22;125,22;9,45;-5,11;3,69;145,35;51,11;4915;39,22;125,32;9,76;-5,23;5,19;143,57;50,49
   46234 - Sot de Chera;352;38,75;9,08;28;-18,47;-9,38;268,97;43,67;369;38,75;9,52;13,54;-16,8;4,07;320;39,77;362;38,75;9,34;6,47;-16,3;2,76;300;42,52;387;38,75;9,99;14,16;-15,25;-4,13;218,42;45,49;384;38,75;9,91;10,03;-13,8;8,33;278,79;48,26
   46235 - Sueca;27460;92,52;296,81;10,31;-0,92;1,04;133,58;54,58;27479;92,52;297,02;9,16;-1,22;1,06;136;54,7;27566;92,52;297,96;8,5;-1,53;1,88;138;54,63;27617;92,52;298,51;7,11;-1,98;3,3;141,52;54,66;27738;92,52;299,82;6,17;-2,38;3,91;145,9;54,12
   46236 - Sumacàrcer;1109;20,09;55,2;-19,35;-16,23;-9,47;274,31;58,2;1096;20,09;54,56;-20;-16,88;-10,4;267,57;59,3;1097;20,09;54,61;-19,57;-16,59;-7,66;259,29;58,76;1072;20,09;53,36;-22,15;-18,1;-8,68;264,22;58,81;1054;20,09;52,46;-21,75;-19,26;-9,77;281,19;57,55
   46237 - Tavernes Blanques;9117;0,74;12382,6;8,42;3,83;-3,49;114,03;50,32;9120;0,74;12386,68;8,49;3,79;-2,53;117,68;50,94;9224;0,74;12527,93;9,12;3,43;-1,52;122,33;50,28;9205;0,78;11839,23;8,12;3,12;-0,11;130,1;50,48;9222;0,78;11861,09;6,44;2,33;0,75;136,1;49,83
   46238 - Tavernes de la Valldigna;17158;49,23;348,5;5,61;0,15;-4,14;129,68;55,91;17201;49,23;349,38;5,53;-0,06;-2,58;131,62;56,2;17254;49,23;350,45;4,47;-0,37;-1,34;136,07;55,68;17162;49,23;348,58;3,95;-1,03;-1,41;141,19;55,75;17222;49,23;349,8;2,49;-1,4;-0,09;145,54;55,42
   46239 - Teresa de Cofrentes;650;110,8;5,87;-10,71;-29,69;3,23;571,74;90,62;636;110,8;5,74;-10,42;-29,56;1,42;744,44;91,57;619;110,8;5,59;-10,94;-28,92;8,56;836,36;99,68;618;110,8;5,58;-8,44;-29,61;8,25;718,92;96,19;615;110,8;5,55;-9,29;-30,08;11,38;776,47;94,01
   46240 - Terrateig;280;6,32;44,33;35,92;-12,14;-8,57;228,57;69,7;278;6,32;44,02;37,62;-13,67;-9,71;296,67;74,84;256;6,32;40,53;28;-14,84;-18,75;372,73;68,42;276;6,32;43,7;31,43;-14,86;-9,06;311,54;63,31;287;6,32;45,44;23,71;-15,68;-1,05;324;58,56
   46241 - Titaguas;459;63,21;7,26;-17,15;-22;-8,06;275;64,52;453;63,21;7,17;-18,23;-22,52;-7,06;266,67;70,3;454;63,21;7,18;-18,2;-21,37;-10,13;246,3;70,04;470;63,21;7,44;-16,37;-21,06;-5,11;266,04;70,29;485;63,21;7,67;-10,68;-19,38;-0,62;310;73,21
   46242 - Torrebaja;397;4,72;84,16;-11,78;-16,62;6,05;254,35;69,66;411;4,72;87,13;-6,38;-16,06;4,38;286,36;70,54;402;4,72;85,22;-10,07;-16,17;-1,49;277,78;73,28;403;4,72;85,45;-7,99;-14,89;-2,98;275,56;72,22;408;4,72;86,51;-7,06;-16,18;-2,45;276,09;73,62
   46243 - Torrella;148;1,14;129,31;-24,49;-13,51;-22,3;205;70,11;146;1,14;127,56;-18,89;-13,01;-21,92;238,89;71,76;145;1,14;126,69;-17,14;-12,41;-20;233,33;70,59;135;1,14;117,95;-22,41;-14,07;-20,74;205,26;75,32;134;1,14;117,08;-22,99;-14,93;-22,39;210,53;78,67
   46244 - Torrent;81245;69,23;1173,47;29,86;7,01;1,51;84,29;51,41;82208;69,23;1187,38;29,23;6,62;1,36;86,86;51,51;83962;69,23;1212,71;30;6,41;2,66;89,25;51,01;84025;69,23;1213,62;28,21;6,13;4,22;92,2;51,11;85142;69,23;1229,76;26,34;5,7;5,63;95,81;50,74
   46245 - Torres Torres;640;11,77;54,36;54,22;-3,44;17,81;190,28;48,49;637;11,77;54,11;51,31;-4,4;16,64;207,35;48,83;669;11,77;56,83;53,79;-3,29;21,82;197,33;50;672;11,77;57,08;49;-3,13;19,94;231,82;48,34;703;11,77;59,72;53,49;-2,99;15,36;238,81;47,69
   46246 - Tous;1254;127,52;9,83;6,09;-11,08;5,9;160,99;60,98;1263;127,52;9,9;5,34;-10,93;5,46;157,46;58,47;1287;127,52;10,09;8,79;-10,18;6,22;150;58,5;1284;127,52;10,07;13,43;-10,51;7,17;156,68;59,7;1312;127,52;10,29;17,56;-9,38;6,86;158,55;61,38
   46247 - Tuéjar;1132;121,92;9,28;-13,65;-24,65;1,5;330,09;75,23;1116;121,92;9,15;-13,49;-26,25;5,2;327,78;70,64;1137;121,92;9,33;-10,33;-27,09;10,47;350,96;70,21;1164;121,92;9,55;-6,36;-26,03;12,71;350,96;67,48;1168;121,92;9,58;-4,65;-25,34;16,95;343,93;68,54
   46248 - Turís;6623;80,51;82,27;45,24;1,12;2,67;107,12;53,17;6646;80,51;82,55;42,77;1,13;1,31;111,28;54,38;6722;80,51;83,5;42,02;1,31;2,75;113,54;54,32;6910;80,51;85,83;43,84;1,06;6,44;118,45;52,94;7019;80,51;87,19;41,68;0,85;6,48;124,18;53,56
   46249 - Utiel;11540;236,91;48,71;-2,56;-6,43;-2,28;164,45;59,22;11531;236,91;48,67;-2,46;-6,21;-3,09;169,21;59,69;11458;236,91;48,36;-2,74;-6,64;-3,12;174,06;60,07;11478;236,91;48,45;-3,05;-7,01;-2,53;177;60,44;11482;236,91;48,47;-2,6;-7,18;-2,24;187,34;60,68
   46250 - València;791413;139,31;5680,75;7,03;0,55;-0,35;142,22;54,49;794288;139,31;5701,39;7,42;0,45;-0,88;144,33;54,6;800215;139,31;5743,93;8,28;0,34;0,78;147,72;54,42;789744;139,27;5670,65;5,78;-0,02;2,23;153,77;54,62;792492;139,27;5690,38;4,02;-0,38;2,36;157,44;54,33
   46251 - Vallada;3036;61,5;49,37;2,15;-6,23;-9,12;186,22;58,62;3039;61,5;49,42;-0,82;-6,65;-8,03;185,64;59,53;3096;61,5;50,34;-1,75;-7,2;-4,81;201,05;58,85;3092;61,5;50,28;-0,8;-7,63;-2,43;198,14;57,11;3065;61,5;49,84;-3,77;-8,38;-0,49;199,47;58,07
   46252 - Vallanca;126;56,61;2,23;-46,61;-113,49;-13,49;441,67;106,56;139;56,61;2,46;-41,35;-108,63;0,72;407,14;104,41;133;56,61;2,35;-43,4;-119,55;4,51;407,69;98,51;136;56,61;2,4;-39,01;-118,38;0;700;88,89;128;56,61;2,26;-38,76;-133,59;-5,47;933,33;93,94
   46253 - Vallés;157;1,24;127,08;55,45;-7,64;12,1;65,79;67,02;157;1,24;127,08;46,73;-7,01;8,92;75,68;70,65;154;1,24;124,65;50,98;-10,39;9,74;87,88;67,39;152;1,24;123,03;52;-11,18;-6,58;75,76;61,7;151;1,24;122,22;51;-12,58;-1,99;92;46,6
   46254 - Venta del Moro;1242;272,59;4,56;-22,42;-24,64;-8,05;305,93;78,96;1207;272,59;4,43;-24,18;-23,94;-12,76;349,14;75,95;1198;272,19;4,4;-23,55;-24,46;-12,52;346,02;72,62;1194;272,22;4,39;-24,24;-24,46;-8,96;349,55;71,8;1180;272,22;4,33;-23,53;-24,66;-9,24;394,95;71,01
   46255 - Vilallonga/Villalonga;4303;43,32;99,33;17,92;-2,6;-1,74;125,68;53,19;4270;43,32;98,57;17,92;-2,86;-2,72;128,81;53,32;4370;43,32;100,88;20,09;-2,86;-1,56;127,76;53,66;4453;43,32;102,8;21,5;-3,12;1,53;126,72;53,55;4555;43,3;105,2;28,31;-3,47;1,54;134,49;51,93
   46256 - Vilamarxant;9550;71,08;134,36;64,29;4,05;11,81;100,56;50,37;9717;71,08;136,71;65,76;4,11;10,14;102,28;51,03;9891;71,08;139,15;65,04;4,17;8,76;103,8;51,8;10097;71,08;142,05;64,15;3,91;9,2;107,51;52,02;10348;71,08;145,58;64,38;3,64;11,2;107,31;50,82
   46257 - Castelló;7095;20,3;349,46;0,92;-3,58;-5,06;137,81;53,67;7049;20,3;347,2;1,72;-4,24;-5,79;141,01;52,51;7054;20,3;347,44;1,5;-4,55;-4,08;144,65;52,29;6996;20,3;344,59;-0,23;-5,69;-2,64;146,23;51,59;6932;20,3;341,44;-3,57;-6,61;-0,87;150,75;50,53
   46258 - Villar del Arzobispo;3579;40,7;87,93;2,43;-6,68;-4,86;154,56;63,87;3554;40,7;87,31;3,28;-6,58;-6,27;163,28;64,84;3536;40,7;86,87;2,29;-7,47;-5,03;163,6;63,7;3578;40,7;87,9;3,44;-7,49;-1,12;177,82;62,64;3581;40,7;87,98;2,17;-8,24;0,03;184,44;62,04
   46259 - Villargordo del Cabriel;586;71,61;8,18;-15,56;-15,19;-9,56;240;77,04;589;71,61;8,23;-17,04;-15,28;-8,32;249,32;76,35;582;71,61;8,13;-19,05;-16,32;-9,62;237,33;76,9;585;71,61;8,17;-15,22;-14,53;-23,59;231,17;77,27;602;71,61;8,41;-14,25;-14,12;-1,16;236,84;73,99
   46260 - Vinalesa;3380;1,53;2211,26;47,28;6,21;7,07;92,06;55,76;3420;1,53;2237,43;49,08;6,14;4,82;87,76;57,1;3412;1,53;2232,19;45,75;5,57;4,69;88,96;54,11;3451;1,53;2257,71;45,12;5,65;6;94,25;54,41;3525;1,53;2306,12;42,42;4,6;7,32;93,99;53,33
   46261 - Yátova;2073;120,24;17,24;2,98;-7,53;3,09;176,34;53,67;2067;120,24;17,19;4,03;-7,11;2,61;189,68;54,6;2079;120,24;17,29;5,11;-6,16;3,61;196,34;54;2112;120,24;17,56;5,49;-7,1;5,78;195,56;53,15;2169;120,24;18,04;11,06;-6,64;8,9;194,47;52,32
   46262 - Yesa, La;227;84,68;2,68;-20,91;-33,04;5,73;730,77;90,76;229;84,68;2,7;-18,79;-31;4,37;758,33;81,75;221;84,68;2,61;-21,91;-32,13;-7,24;870;78,23;230;84,68;2,72;-17,56;-26,52;-2,61;708,33;72,93;227;84,68;2,68;-14,98;-26,43;1,32;500;81,6
   46263 - Zarra;365;49,72;7,34;-12,26;-30,41;-4,66;768,18;109,77;359;49,72;7,22;-15,53;-31,48;-4,74;691,67;112,43;346;49,72;6,96;-18,4;-34,39;4,05;616;107,19;364;49,72;7,32;-10,78;-33,79;-3,3;691,3;100;370;49,72;7,44;-7,5;-32,7;1,62;713,64;93,72
   46902 - Gátova;392;30,41;12,89;-21,91;-30,1;-15,56;467,86;68,24;378;30,41;12,43;-24,7;-32,28;-10,05;590,91;67,26;405;30,42;13,31;-19;-30,86;-5,19;336,84;69,46;419;30,42;13,78;-16,2;-28,16;2,15;307,14;68,95;412;30,42;13,54;-13,26;-31,07;8,01;351,43;62,2
   46903 - San Antonio de Benagéber;8846;8,74;1012;312,98;10,85;35,39;42,74;52,33;9089;8,74;1039,8;273,42;11,24;31,87;43,7;54,42;9286;8,74;1062,34;241,52;11,62;28,05;46,31;54,84;9501;8,74;1086,94;217,87;11,57;23,26;49,31;54,82;9874;8,74;1129,61;213,46;11,55;23,29;50,69;55,11
   46904 - Benicull de Xúquer;974;3,5;278,55;19,22;-0,88;4,21;128,47;47,35;1012;3,5;289,42;20,76;-1,43;2,27;113,07;47,52;1048;3,5;299,71;25,96;-1,82;4,87;118,54;45,96;1095;3,5;313,15;33,37;-1,82;11,69;119,23;45,42;1102;3,5;315,16;38,97;-2,04;11,98;124,67;44,05
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notas: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Un guió (-) significa que el denominador de l'indicador és zero, excepte en el cas de l'Horta Oest, on assenyala que aquesta demarcació territorial ja no figura en el Registre d'Entitats Locals de la Comunitat Valenciana.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Font: Institut Valencià d'Estadística (IVE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
